Year,Snowfall Inches,location
2008,11.7,Flagstaff
2007,12.9,Flagstaff
2006,14.8,Flagstaff
2005,18.8,Flagstaff
1995,8.9,Flagstaff
1994,0,Flagstaff
1993,12.8,Flagstaff
1992,14.6,Flagstaff
1991,18.1,Flagstaff
1990,13.6,Flagstaff
1989,12.5,Flagstaff
1988,18.4,Flagstaff
1987,21.1,Flagstaff
1986,17.6,Flagstaff
1985,18.4,Flagstaff
1984,7.1,Flagstaff
1983,9.8,Flagstaff
2008,3.1,Durango
2007,5.6,Durango
2006,20.7,Durango
2005,8.1,Durango
2004,4.5,Durango
2003,22.9,Durango
2002,4.4,Durango
2001,9.5,Durango
2000,5.5,Durango
1999,7.3,Durango
1998,7.9,Durango
1997,11.8,Durango
1996,6.1,Durango
1995,0,Durango
1994,9,Durango
1993,5.9,Durango
1992,13.8,Durango
1991,6,Durango
1990,11.6,Durango
1989,8.6,Durango
1988,5.4,Durango
1987,10.1,Durango
1986,10.4,Durango
1985,8.3,Durango
1984,11.4,Durango
1983,18,Durango
